timestamp,left_x,left_y,right_x,right_y,head_x,head_y,center_x,center_y,eye_dx,eye_dy,head_eye_dx,head_eye_dy
1754382520.055066,720,372,594,366,651,457,657,369,126,6,6,88
1754382520.0879,719,372,593,366,650,457,656,369,126,6,6,88
1754382520.122258,718,373,592,367,649,457,655,370,126,6,6,87
1754382520.1543732,718,373,591,366,648,457,654,369,127,7,6,88
1754382520.1888251,718,373,591,366,648,458,654,369,127,7,6,89
1754382520.220891,718,373,590,367,648,458,654,370,128,6,6,88
1754382520.256208,717,373,590,367,648,459,653,370,127,6,5,89
1754382520.28888,717,374,590,368,647,459,653,371,127,6,6,88
1754382520.321503,716,374,590,367,647,459,653,370,126,7,6,89
1754382520.355056,715,374,588,368,647,459,651,371,127,6,4,88
1754382520.389238,716,374,588,367,647,459,652,370,128,7,5,89
1754382520.422039,716,374,588,367,647,459,652,370,128,7,5,89
1754382520.454713,716,374,588,367,647,459,652,370,128,7,5,89
1754382520.488798,716,374,589,367,647,459,652,370,127,7,5,89
1754382520.522424,715,378,590,370,647,461,652,374,125,8,5,87
1754382520.55483,715,382,587,376,646,463,651,379,128,6,5,84
1754382520.5882912,715,381,586,376,647,462,650,378,129,5,3,84
1754382520.622357,717,379,590,373,647,462,653,376,127,6,6,86
1754382520.6545641,717,376,589,370,647,462,653,373,128,6,6,89
1754382520.688854,718,375,590,369,649,461,654,372,128,6,5,89
1754382520.722344,718,375,590,369,649,460,654,372,128,6,5,88
1754382520.755308,719,374,591,368,649,461,655,371,128,6,6,90
1754382520.787919,719,374,591,368,649,460,655,371,128,6,6,89
1754382520.821126,720,374,592,368,650,460,656,371,128,6,6,89
1754382520.855009,720,374,593,367,650,460,656,370,127,7,6,90
1754382520.8891258,721,374,593,367,650,460,657,370,128,7,7,90
1754382520.922409,720,374,593,367,650,460,656,370,127,7,6,90
1754382520.9552379,720,374,594,367,651,460,657,370,126,7,6,90
1754382520.98893,721,374,594,368,651,461,657,371,127,6,6,90
1754382521.0222368,721,374,594,368,651,461,657,371,127,6,6,90
1754382521.055191,721,374,594,368,651,461,657,371,127,6,6,90
1754382521.088947,722,374,594,367,651,460,658,370,128,7,7,90
1754382521.121289,722,374,594,367,651,460,658,370,128,7,7,90
1754382521.154745,722,374,594,367,651,460,658,370,128,7,7,90
1754382521.188622,722,374,594,368,651,461,658,371,128,6,7,90
1754382521.2214222,722,374,595,368,651,461,658,371,127,6,7,90
1754382521.254619,722,375,595,368,652,461,658,371,127,7,6,90
1754382521.288759,722,375,594,368,652,461,658,371,128,7,6,90
1754382521.321248,721,375,594,368,651,461,657,371,127,7,6,90
1754382521.3550231,721,375,594,368,651,461,657,371,127,7,6,90
1754382521.3883588,721,375,594,368,652,461,657,371,127,7,5,90
1754382521.420445,721,375,593,368,652,461,657,371,128,7,5,90
1754382521.453892,721,375,593,368,652,462,657,371,128,7,5,91
1754382521.4883158,721,375,593,368,652,462,657,371,128,7,5,91
1754382521.5217311,721,376,594,369,652,462,657,372,127,7,5,90
1754382521.554085,722,376,594,369,652,462,658,372,128,7,6,90
1754382521.5877929,722,376,595,369,652,462,658,372,127,7,6,90
1754382521.622056,722,376,595,368,652,462,658,372,127,8,6,90
1754382521.654453,722,376,595,369,652,462,658,372,127,7,6,90
1754382521.688315,722,377,595,370,652,463,658,373,127,7,6,90
1754382521.721629,723,381,597,375,652,464,660,378,126,6,8,86
1754382521.7548192,724,382,597,376,652,465,660,379,127,6,8,86
1754382521.7884748,724,382,597,375,652,465,660,378,127,7,8,87
1754382521.821431,725,381,598,375,653,464,661,378,127,6,8,86
1754382521.854091,725,381,598,375,653,465,661,378,127,6,8,87
1754382521.88842,726,381,599,376,654,464,662,378,127,5,8,86
1754382521.921768,726,381,599,375,654,464,662,378,127,6,8,86
1754382521.954868,726,379,598,374,654,464,662,376,128,5,8,88
1754382521.988344,724,375,597,370,655,462,660,372,127,5,5,90
1754382522.021769,724,375,596,369,654,462,660,372,128,6,6,90
1754382522.05378,723,375,596,369,654,462,659,372,127,6,5,90
1754382522.088929,723,375,596,369,654,462,659,372,127,6,5,90
1754382522.119709,723,375,595,369,653,462,659,372,128,6,6,90
1754382522.153486,722,375,595,369,653,462,658,372,127,6,5,90
1754382522.1867762,722,375,595,369,653,462,658,372,127,6,5,90
1754382522.219884,722,375,595,369,653,462,658,372,127,6,5,90
1754382522.253556,722,375,594,369,653,462,658,372,128,6,5,90
1754382522.287194,722,375,594,369,652,462,658,372,128,6,6,90
1754382522.32141,722,375,594,369,652,462,658,372,128,6,6,90
1754382522.353583,721,376,594,370,652,462,657,373,127,6,5,89
1754382522.387539,721,376,594,370,652,462,657,373,127,6,5,89
1754382522.420851,721,376,593,370,652,463,657,373,128,6,5,90
1754382522.453452,721,376,593,370,651,463,657,373,128,6,6,90
1754382522.488841,721,377,593,370,652,463,657,373,128,7,5,90
1754382522.519857,721,376,594,370,652,463,657,373,127,6,5,90
1754382522.5532742,721,376,594,370,652,463,657,373,127,6,5,90
1754382522.5864918,721,376,595,370,652,463,658,373,126,6,6,90
1754382522.62049,722,377,594,370,652,463,658,373,128,7,6,90
1754382522.653167,722,377,594,370,652,463,658,373,128,7,6,90
