timestamp,stim_x,stim_y,inter_ocular_px,offset_x_monitor_right,offset_y_monitor_right,offset_x_monitor_left,offset_y_monitor_left
1754933440.5036218,392,320,128.15998282323147,-2.000122238595282,-0.008147957632741582,2.0555897427037397,0.23634218953341085
1754933440.524235,142,140,116.0713984830077,-2.058013925369341,-0.04509812666620909,2.02864077528242,0.28881810956923876
1754933440.5936608,241,125,113.4359576762306,-2.059117765923207,-0.040296929007311626,2.0180044217363684,0.296117720898119
1754933440.6242409,233,151,113.55643686381283,-2.0582894127765607,-0.02917406568155109,2.020498856707294,0.2981689550003093
1754933440.6591208,115,140,113.6304535654315,-2.0581349791659154,-0.03950996578719486,2.02507731006422,0.30239977479114594
1754933440.726536,321,260,112.1865937083511,-2.0540609266409624,-0.024768246873324178,2.0220198794703794,0.2895165447544347
1754933440.755933,498,294,113.04785438910353,-2.05804661779547,-0.03094387605626407,2.022254249806163,0.29813355209255216
1754933440.8267362,235,320,112.78997581380908,-2.0567592839213846,-0.033856718136296905,2.0208453777999265,0.2975762061579945
1754933440.8555362,302,218,113.24955798276957,-2.0573653510690355,-0.035814462633598734,2.021704304265953,0.29772456697635985
1754933440.9243038,524,140,113.62249535363314,-2.05585398872672,-0.033476938612494636,2.0266913965490976,0.29993719070110414
1754933440.954388,336,315,112.62146761136917,-2.0551491433502784,-0.033064042036354296,2.0220268405695108,0.29430798831553445
1754933441.026172,121,207,114.01429071855766,-2.0567372917389104,-0.03731823910291321,2.0222357228542283,0.30736470952175293
1754933441.053206,103,320,113.06254657344708,-2.0574322326563514,-0.0349836463832105,2.023560246615208,0.3021194244519078
1754933441.1244988,306,299,113.4931368650518,-2.059456388956089,-0.030383813194053148,2.020632835763737,0.3009121306477347
1754933441.151596,311,280,111.98839007005148,-2.054874888642149,-0.032949146589008264,2.0158232608524607,0.3091142607062914
1754933441.223818,96,252,112.38426018991235,-2.0541443582005656,-0.02234028238855983,2.021060085292702,0.29826423819690967
1754933441.251035,374,133,112.26373941973132,-2.0538652982228713,-0.028920360456321247,2.0234873125174717,0.2917730998386081
1754933441.285447,119,266,112.82794780923562,-2.055935956762241,-0.028241049678105107,2.0244794738426015,0.2934302637906602
