frame,timestamp,left_eye_x,left_eye_y,right_eye_x,right_eye_y,target_x,target_y,is_moving,eye_sync_score,movement_phase,reaction_detected,reaction_time
0,0.11613607406616211,1087,82,895,60,763,728,False,1.0,0,False,
1,0.1620030403137207,1069,125,877,102,763,728,False,0.9999642947114403,0,False,
2,0.2264089584350586,1062,134,870,112,763,728,False,0.9987343565332973,0,False,
3,0.2892282009124756,1049,140,854,116,763,728,False,0.9824865243069563,0,False,
4,0.355424165725708,1059,125,866,102,763,728,False,0.9995120760870788,0,False,
5,0.4189341068267822,1044,139,850,116,763,728,False,0.9985460100748997,0,False,
6,0.46232104301452637,1031,145,837,122,763,728,False,1.0,0,False,
7,0.524630069732666,1016,150,821,127,763,728,False,0.9972119440208009,0,False,
8,0.6011881828308105,1001,158,806,134,763,728,False,0.975609756097561,0,False,
9,0.6596500873565674,987,170,792,147,763,728,False,0.9980525784828885,0,False,
10,0.7218670845031738,972,193,776,170,763,728,False,0.9991640487498034,0,False,
11,0.7635359764099121,955,223,759,200,763,728,False,0.9986934017636706,0,False,
12,0.8171310424804688,942,257,746,235,763,728,False,0.9988820448526389,0,False,
13,0.8551251888275146,929,287,732,265,763,728,False,0.9922778767136677,0,False,
14,0.8872263431549072,919,309,722,287,763,728,False,1.0,0,False,
15,0.9236161708831787,915,319,719,298,763,728,False,1.0,0,False,
16,0.9912910461425781,916,326,720,306,763,728,False,0.995785108762236,0,False,
17,1.0342302322387695,918,327,723,308,763,728,False,1.0,0,False,
18,1.096709966659546,922,334,727,314,763,728,False,0.974173274440425,0,False,
19,1.151231050491333,924,345,730,327,763,728,False,0.9654789408131664,0,False,
20,1.214756965637207,926,355,732,338,763,728,False,1.0,0,False,
21,1.253364086151123,925,362,731,345,763,728,False,1.0,0,False,
22,1.2888641357421875,924,368,731,351,763,728,False,1.0,0,False,
23,1.3545660972595215,924,371,731,355,377,154,True,1.0,1,False,
24,1.3880290985107422,926,372,732,355,377,154,True,1.0,1,False,
25,1.4286401271820068,928,374,734,356,378,154,True,1.0,1,False,
26,1.494725227355957,931,377,738,360,383,157,True,1.0,1,True,0.14015913009643555
27,1.542628288269043,934,380,741,363,388,160,True,1.0,1,True,0.18806219100952148
28,1.6011672019958496,936,382,742,365,397,164,True,1.0,1,False,
29,1.6562330722808838,937,382,744,366,407,169,True,1.0,1,False,
